field,security,log_size,proof_bytes
baby_bear,100,14,70009
baby_bear,100,15,84469
baby_bear,100,16,89473
baby_bear,100,17,94856
baby_bear,100,18,100734
baby_bear,100,19,113729
baby_bear,100,20,119009
baby_bear,128,14,92558
baby_bear,128,15,112530
baby_bear,128,16,119018
baby_bear,128,17,126179
baby_bear,128,18,133488
baby_bear,128,19,150474
baby_bear,128,20,157580
koala_bear,100,14,70011
koala_bear,100,15,84562
koala_bear,100,16,89610
koala_bear,100,17,94920
koala_bear,100,18,100814
koala_bear,100,19,113715
koala_bear,100,20,119229
koala_bear,128,14,92533
koala_bear,128,15,112608
koala_bear,128,16,119213
koala_bear,128,17,126166
koala_bear,128,18,133780
koala_bear,128,19,150600
koala_bear,128,20,157787
goldilocks,100,14,78965
goldilocks,100,15,94425
goldilocks,100,16,99116
goldilocks,100,17,104743
goldilocks,100,18,110921
goldilocks,100,19,124476
goldilocks,100,20,129778
goldilocks,128,14,104436
goldilocks,128,15,125745
goldilocks,128,16,132022
goldilocks,128,17,139365
goldilocks,128,18,146923
goldilocks,128,19,164597
goldilocks,128,20,171536
