op,field,security,log_size,median_ns,proof_bytes
commit,baby_bear,100,14,834312.716374269,70009
commit,baby_bear,100,15,1699163.224702381,84469
commit,baby_bear,100,16,3452658.412698413,89473
commit,baby_bear,100,17,6975581.882756133,94856
commit,baby_bear,100,18,13959566.364583332,100734
commit,baby_bear,100,19,28004685.03717949,113729
commit,baby_bear,100,20,57279217.08928572,119009
commit,baby_bear,128,14,860948.1938596491,92558
commit,baby_bear,128,15,1727655.5226190477,112530
commit,baby_bear,128,16,3449657.7533613443,119018
commit,baby_bear,128,17,7001204.694444444,126179
commit,baby_bear,128,18,13959246.134615384,133488
commit,baby_bear,128,19,28424971.276923075,150474
commit,baby_bear,128,20,58066477.7840136,157580
commit,goldilocks,100,14,6033202.80625,78965
commit,goldilocks,100,15,12104328.126388889,94425
commit,goldilocks,100,16,24240518.361111112,99116
commit,goldilocks,100,17,48568449.43611111,104743
commit,goldilocks,100,18,97490659.75,110921
commit,goldilocks,100,19,197878368.1041667,124476
commit,goldilocks,100,20,398009025.6666666,129778
commit,goldilocks,128,14,6044730.110714287,104436
commit,goldilocks,128,15,12228323.987229101,125745
commit,goldilocks,128,16,24270793.58125,132022
commit,goldilocks,128,17,48636895.375,139365
commit,goldilocks,128,18,97525065.91666667,146923
commit,goldilocks,128,19,196572724.64166665,164597
commit,goldilocks,128,20,394617905.6,171536
commit,koala_bear,100,14,806580.5035310735,70011
commit,koala_bear,100,15,1619724.994117647,84562
commit,koala_bear,100,16,3240449.1685185186,89610
commit,koala_bear,100,17,6480675.907670455,94920
commit,koala_bear,100,18,12904155.727941178,100814
commit,koala_bear,100,19,25837842.35147392,113715
commit,koala_bear,100,20,52777239.66666667,119229
commit,koala_bear,128,14,791043.1355654763,92533
commit,koala_bear,128,15,1584291.8025641027,112608
commit,koala_bear,128,16,3182097.033333333,119213
commit,koala_bear,128,17,6384073.110795455,126166
commit,koala_bear,128,18,12829878.63095238,133780
commit,koala_bear,128,19,25835661.573214285,150600
commit,koala_bear,128,20,52968793.89285714,157787
open,baby_bear,100,14,3294248.9220281863,70009
open,baby_bear,100,15,8860631.541538462,84469
open,baby_bear,100,16,17722821.0625,89473
open,baby_bear,100,17,35609117.73809524,94856
open,baby_bear,100,18,72055948.02727273,100734
open,baby_bear,100,19,164514402.02499998,113729
open,baby_bear,100,20,333844359.125,119009
open,baby_bear,128,14,3423514.5472689075,92558
open,baby_bear,128,15,9074183.91875,112530
open,baby_bear,128,16,18297306.409356724,119018
open,baby_bear,128,17,36312229.53355263,126179
open,baby_bear,128,18,72840766.01041666,133488
open,baby_bear,128,19,166884664.76190478,150474
open,baby_bear,128,20,339970281.25,157580
open,goldilocks,100,14,14011231.756578948,78965
open,goldilocks,100,15,40783704.88486842,94425
open,goldilocks,100,16,81484104.19999999,99116
open,goldilocks,100,17,163280597.3333333,104743
open,goldilocks,100,18,327123104.25,110921
open,goldilocks,100,19,762892305.5,124476
open,goldilocks,100,20,1539002927.0,129778
open,goldilocks,128,14,14138804.274358975,104436
open,goldilocks,128,15,41065286.59774436,125745
open,goldilocks,128,16,82035720.7,132022
open,goldilocks,128,17,163977576.3333333,139365
open,goldilocks,128,18,329252187.75,146923
open,goldilocks,128,19,767740062.5,164597
open,goldilocks,128,20,1546776625.0,171536
open,koala_bear,100,14,2966469.5865384615,70011
open,koala_bear,100,15,8013438.672321429,84562
open,koala_bear,100,16,16179780.333333332,89610
open,koala_bear,100,17,31950949.09007353,94920
open,koala_bear,100,18,64678311.8,100814
open,koala_bear,100,19,149251900.15,113715
open,koala_bear,100,20,302480269.9166666,119229
open,koala_bear,128,14,3099119.5096153845,92533
open,koala_bear,128,15,8333584.21092437,112608
open,koala_bear,128,16,16686363.353535354,119213
open,koala_bear,128,17,33237831.0,126166
open,koala_bear,128,18,66623250.080882356,133780
open,koala_bear,128,19,151567441.06666666,150600
open,koala_bear,128,20,309414192.875,157787
verify,baby_bear,100,14,1573123.4956439394,70009
verify,baby_bear,100,15,1830047.2596153845,84469
verify,baby_bear,100,16,1931835.3566666665,89473
verify,baby_bear,100,17,2049218.314563583,94856
verify,baby_bear,100,18,2170576.209686147,100734
verify,baby_bear,100,19,2434724.1805622587,113729
verify,baby_bear,100,20,2560645.9971830985,119009
verify,baby_bear,128,14,2013145.734375,92558
verify,baby_bear,128,15,2391378.8279411765,112530
verify,baby_bear,128,16,2555786.6348684207,119018
verify,baby_bear,128,17,2700663.9337327527,126179
verify,baby_bear,128,18,2820613.5010055304,133488
verify,baby_bear,128,19,3202279.520353982,150474
verify,baby_bear,128,20,3367736.6004716977,157580
verify,goldilocks,100,14,1420171.3616421567,78965
verify,goldilocks,100,15,1682903.6331417626,94425
verify,goldilocks,100,16,1769452.0516460906,99116
verify,goldilocks,100,17,1865533.915734266,104743
verify,goldilocks,100,18,1972564.1597222222,110921
verify,goldilocks,100,19,2203335.4246612466,124476
verify,goldilocks,100,20,2298443.4063620074,129778
verify,goldilocks,128,14,1866155.4702953296,104436
verify,goldilocks,128,15,2222775.8675324675,125745
verify,goldilocks,128,16,2335814.717086835,132022
verify,goldilocks,128,17,2466872.1175,139365
verify,goldilocks,128,18,2604994.2649122803,146923
verify,goldilocks,128,19,2899006.8380000005,164597
verify,goldilocks,128,20,3025726.5805655597,171536
verify,koala_bear,100,14,1222584.9705128204,70011
verify,koala_bear,100,15,1448022.3001443,84562
verify,koala_bear,100,16,1541099.3527636295,89610
verify,koala_bear,100,17,1643355.740060852,94920
verify,koala_bear,100,18,1762469.481170246,100814
verify,koala_bear,100,19,1961226.1041666667,113715
verify,koala_bear,100,20,2044468.530523256,119229
verify,koala_bear,128,14,1578194.3079178885,92533
verify,koala_bear,128,15,1929195.72475,112608
verify,koala_bear,128,16,1987568.9975490198,119213
verify,koala_bear,128,17,2157522.0277313264,126166
verify,koala_bear,128,18,2258847.6646825396,133780
verify,koala_bear,128,19,2590764.652245863,150600
verify,koala_bear,128,20,2684809.317042607,157787
